"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
-1.93547833575068,-1.93547833575068,-1.93547833575068,-1.93547833575068,-1.93547833575068,-1.93547833575068,-1.93547833575068,-1.93547833575068,-1.93547833575068,-1.93547833575068
-1.93416258202843,-1.93416258202843,-1.93416258202843,-1.93416258202843,-1.93416258202843,-1.93416258202843,-1.93416258202843,-1.93416258202843,-1.93416258202843,-1.93416258202843
-1.93284682830619,-1.93284682830619,-1.93284682830619,-1.93284682830619,-1.93284682830619,-1.93284682830619,-1.93284682830619,-1.93284682830619,-1.93284682830619,-1.93284682830619
-1.93153107458395,-1.93153107458395,-1.93153107458395,-1.93153107458395,-1.93153107458395,-1.93153107458395,-1.93153107458395,-1.93153107458395,-1.93153107458395,-1.93153107458395
-1.93021532086171,-1.93021532086171,-1.93021532086171,-1.93021532086171,-1.93021532086171,-1.93021532086171,-1.93021532086171,-1.93021532086171,-1.93021532086171,-1.93021532086171
-1.92889956713946,-1.92889956713946,-1.92889956713946,-1.92889956713946,-1.92889956713946,-1.92889956713946,-1.92889956713946,-1.92889956713946,-1.92889956713946,-1.92889956713946
-1.92758381341721,-1.92758381341721,-1.92758381341721,-1.92758381341721,-1.92758381341721,-1.92758381341721,-1.92758381341721,-1.92758381341721,-1.92758381341721,-1.92758381341721
-1.92626805969497,-1.92626805969497,-1.92626805969497,-1.92626805969497,-1.92626805969497,-1.92626805969497,-1.92626805969497,-1.92626805969497,-1.92626805969497,-1.92626805969497
-1.92495230597273,-1.92495230597273,-1.92495230597273,-1.92495230597273,-1.92495230597273,-1.92495230597273,-1.92495230597273,-1.92495230597273,-1.92495230597273,-1.92495230597273
-1.92363655225049,-1.92363655225049,-1.92363655225049,-1.92363655225049,-1.92363655225049,-1.92363655225049,-1.92363655225049,-1.92363655225049,-1.92363655225049,-1.92363655225049
-1.92232079852824,-1.92232079852824,-1.92232079852824,-1.92232079852824,-1.92232079852824,-1.92232079852824,-1.92232079852824,-1.92232079852824,-1.92232079852824,-1.92232079852824
-1.921005044806,-1.921005044806,-1.921005044806,-1.921005044806,-1.921005044806,-1.921005044806,-1.921005044806,-1.921005044806,-1.921005044806,-1.921005044806
-1.91968929108375,-1.91968929108375,-1.91968929108375,-1.91968929108375,-1.91968929108375,-1.91968929108375,-1.91968929108375,-1.91968929108375,-1.91968929108375,-1.91968929108375
-1.91837353736151,-1.91837353736151,-1.91837353736151,-1.91837353736151,-1.91837353736151,-1.91837353736151,-1.91837353736151,-1.91837353736151,-1.91837353736151,-1.91837353736151
-1.91705778363927,-1.91705778363927,-1.91705778363927,-1.91705778363927,-1.91705778363927,-1.91705778363927,-1.91705778363927,-1.91705778363927,-1.91705778363927,-1.91705778363927
-1.91574202991703,-1.91574202991703,-1.91574202991703,-1.91574202991703,-1.91574202991703,-1.91574202991703,-1.91574202991703,-1.91574202991703,-1.91574202991703,-1.91574202991703
-1.91442627619478,-1.91442627619478,-1.91442627619478,-1.91442627619478,-1.91442627619478,-1.91442627619478,-1.91442627619478,-1.91442627619478,-1.91442627619478,-1.91442627619478
-1.91311052247254,-1.91311052247254,-1.91311052247254,-1.91311052247254,-1.91311052247254,-1.91311052247254,-1.91311052247254,-1.91311052247254,-1.91311052247254,-1.91311052247254
-1.91179476875029,-1.91179476875029,-1.91179476875029,-1.91179476875029,-1.91179476875029,-1.91179476875029,-1.91179476875029,-1.91179476875029,-1.91179476875029,-1.91179476875029
-1.91047901502805,-1.91047901502805,-1.91047901502805,-1.91047901502805,-1.91047901502805,-1.91047901502805,-1.91047901502805,-1.91047901502805,-1.91047901502805,-1.91047901502805
-1.90916326130581,-1.90916326130581,-1.90916326130581,-1.90916326130581,-1.90916326130581,-1.90916326130581,-1.90916326130581,-1.90916326130581,-1.90916326130581,-1.90916326130581
-1.90784750758357,-1.90784750758357,-1.90784750758357,-1.90784750758357,-1.90784750758357,-1.90784750758357,-1.90784750758357,-1.90784750758357,-1.90784750758357,-1.90784750758357
-1.90653175386132,-1.90653175386132,-1.90653175386132,-1.90653175386132,-1.90653175386132,-1.90653175386132,-1.90653175386132,-1.90653175386132,-1.90653175386132,-1.90653175386132
