ENSG00000075624,ENSG00000187514,ENSG00000133112,ENSG00000172757,ENSG00000067225,ENSG00000110700,ENSG00000125691,ENSG00000147604,ENSG00000108518
2.8824024,2.900682,2.8704271,2.8753693,2.8858123,2.88511,2.847228,2.929117,2.8842266
2.6882224,2.5016332,2.6884294,2.5285249,2.720559,2.5939808,2.5740619,2.5686843,2.514723
2.6886883,2.5636425,2.6389565,2.5295093,2.695179,2.6357622,2.6110747,2.5758188,2.5222816
2.7421627,2.6668744,2.8030791,2.6744685,2.682863,2.7454996,2.7907903,2.7576027,2.6620653
2.9026291,2.8042831,2.8846307,2.8016553,2.8699484,2.785286,2.835986,2.849076,2.8301795
2.8018777,2.7787466,2.8050585,2.830914,2.8515506,2.8072243,2.8078043,2.8150105,2.7854407
2.7618175,2.9057674,2.6872764,2.9590893,2.7024524,2.8474855,2.7013364,2.8430507,2.9166017
2.7524197,2.818337,2.6985204,2.7419076,2.7075644,2.737846,2.6907623,2.756568,2.764207
2.865909,2.976644,2.9004073,3.1112914,2.930264,3.0111766,3.0259562,2.945178,3.018435
2.7128828,2.6355126,2.701303,2.6442273,2.737936,2.688494,2.6666918,2.6571252,2.626681
2.68634,2.8494172,2.7145696,2.870734,2.6994786,2.8130374,2.73795,2.7885866,2.799551
2.7488897,2.6895328,2.7866511,2.6900973,2.7715247,2.7042885,2.710648,2.7113605,2.7163436
2.8031106,2.7850184,2.7832394,2.843878,2.8130276,2.7440596,2.7753916,2.780754,2.800657
2.7874298,2.8945184,2.8093395,2.8906236,2.8005106,2.8971071,2.913985,2.8492174,2.8083692
2.8418732,2.8451414,2.9440267,2.8377075,3.0116525,2.8136115,3.0171509,2.9077,2.8664026
2.7569818,2.6541228,2.7795188,2.6667376,2.785016,2.7041373,2.6973515,2.7346387,2.6227276
2.701054,2.714715,2.7191744,2.7050157,2.6863732,2.6820989,2.6964355,2.6672225,2.6662846
2.6738815,2.937346,2.7141328,3.0232267,2.7067056,2.9433908,2.8787546,2.8990412,2.9284394
2.9480777,2.8825722,2.8338904,2.8553693,2.8927517,2.8057928,2.8611665,2.841934,2.8722284
2.7430034,2.7148938,2.7558336,2.7325416,2.513927,2.8165836,2.7705398,2.757069,2.706017
2.6918802,2.6233315,2.813756,2.6255739,2.8193212,2.6224756,2.6886854,2.657982,2.6559877
3.0515275,2.9636793,2.9552503,2.9780645,3.0094242,2.8293157,3.055746,2.947078,2.9387329
2.8452687,2.7802036,2.7839131,2.7747319,2.7785163,2.7296147,2.7586517,2.748537,2.7834883
2.7528522,2.8250856,2.7472765,2.822411,2.7200193,2.8060255,2.768212,2.7828262,2.7849822
2.7496576,2.6909842,2.8013735,2.6798472,2.798954,2.6537185,2.7301178,2.676772,2.7017577
2.7498236,2.7806768,2.746171,2.780885,2.7921593,2.7973347,2.7819896,2.7716994,2.7630606
2.7501307,2.5948539,2.7486377,2.6060443,2.8285723,2.584569,2.6518645,2.6015873,2.5882838
2.6307294,2.7050743,2.79848,2.6942,2.8589542,2.6817343,2.7611845,2.673292,2.6007726
2.747301,2.8859477,2.9674497,2.8667126,2.9781287,2.8748858,2.845018,2.9295852,2.8493438
2.8816977,3.1292691,2.7609086,3.161108,2.8249545,3.1120405,2.876037,2.9466913,3.1281698
2.914167,3.0432658,2.8675516,3.0962949,2.887342,3.0112426,3.0674162,2.9681547,3.0405405
2.766038,2.7052298,2.7611306,2.7228973,2.7982833,2.732408,2.680779,2.7348545,2.7240863
2.6522098,2.6367633,2.648447,2.5587053,2.6640956,2.6438684,2.6242473,2.6154363,2.5826302
2.8663454,2.9240584,2.7870517,2.91358,2.8132951,2.87388,2.8108869,2.8906853,2.93359
2.6877122,2.8219802,2.7079234,2.8526978,2.767153,2.8053846,2.7278297,2.7694464,2.7844706
2.6464791,2.41962,2.6743224,2.3802903,2.8060718,2.4897528,2.5555272,2.390627,2.4230537
2.904542,3.2905002,2.9058356,3.2252765,2.9518993,3.1623054,3.048956,3.0677712,3.1627152
2.6021361,2.4608765,2.674089,2.4569993,2.2211905,2.527121,2.5300426,2.5027506,2.4351032
2.7282953,2.7007685,2.6778073,2.6669073,2.759181,2.7097278,2.6428046,2.712381,2.716963
2.7283645,2.6784205,2.7178297,2.6365936,2.7141333,2.6598015,2.6489677,2.6235032,2.6583269
2.689503,2.591848,2.6763964,2.5333426,2.7071326,2.5530095,2.5871696,2.5178866,2.5122304
2.7896717,2.8443508,2.7441378,2.8021798,2.7607942,2.845553,2.8088675,2.7977855,2.7845142
2.773575,2.744767,2.7876146,2.7100294,2.8126304,2.768855,2.8289413,2.799025,2.7934282
2.8276553,2.8564467,2.7799296,2.8192682,2.8219106,2.8263805,2.8481314,2.8420928,2.861581
2.6630118,2.9101691,2.6816275,2.9624662,2.7009501,2.828341,2.7247589,2.8306756,2.8813987
2.593872,2.576301,2.6532896,2.5704122,2.62386,2.5407534,2.6984088,2.5216236,2.557092
2.7305796,2.7224503,2.7631412,2.7340167,2.7793677,2.778482,2.7902408,2.7526002,2.7297754
2.946913,2.7823715,2.9413347,2.7344916,2.9655352,2.674536,2.932319,2.7083435,2.759527
2.7526312,2.7962513,2.786951,2.817737,2.7874408,2.738709,2.7939627,2.7697654,2.8016145
2.725766,2.628057,2.705739,2.5496674,2.677936,2.6940186,2.7092903,2.6993246,2.6427548
2.6308212,2.4797003,2.6729856,2.4477358,2.3960648,2.564339,2.5533981,2.5201774,2.4596841
2.7010288,2.5742507,2.673193,2.5160365,2.7315006,2.591529,2.6250916,2.536156,2.515947
2.7345724,2.6387248,2.8157878,2.590623,2.7828567,2.6772828,2.71248,2.7072964,2.6676028
