ENSG00000075624,ENSG00000187514,ENSG00000133112,ENSG00000172757,ENSG00000067225,ENSG00000110700,ENSG00000125691,ENSG00000147604,ENSG00000108518
2.9136937,,2.7682667,3.1197023,3.020086,,,2.6159608,2.8284013
2.8291075,,2.7003083,2.962868,2.8692427,,,2.4874012,2.7054617
3.0443547,,2.8529058,3.1558836,2.9607584,,,2.5759141,2.8511736
2.865441,,2.7205057,3.020242,2.8531182,,,2.4806519,2.72672
2.8396523,,2.694621,2.8353271,2.7592697,,,2.393822,2.6578293
2.6154954,,2.4648433,2.7301395,2.6260197,,,2.2586267,2.5449843
2.859519,,2.7249413,2.916298,2.8074603,,,2.4359872,2.6836426
3.0523694,,2.9185233,3.129771,3.0451472,,,2.63079,2.8902676
2.9983828,,2.7977738,3.095424,2.9365904,,,2.5639265,2.7947204
3.06307,,2.9311357,3.1726553,2.9707942,,,2.5861142,2.8848891
2.9880903,,2.8215287,3.0966365,2.9354603,,,2.5559433,2.812463
3.0340288,,2.7935293,3.0781813,2.9188666,,,2.5577505,2.7402093
2.8991454,,2.7748032,2.9860432,2.8975348,,,2.4933627,2.7788613
3.0180995,,2.8222418,3.0931227,2.8948023,,,2.5236042,2.8222206
3.020725,,2.906982,3.0346756,2.9805365,,,2.5728955,2.87488
2.9912078,,2.8889036,3.0263078,2.9406407,,,2.565767,2.8172863
3.0200372,,2.8453112,3.1349952,2.9417615,,,2.5484283,2.8331237
2.864451,,2.6904864,2.9951057,2.8071995,,,2.437905,2.7093885
2.9016774,,2.7313495,2.9854293,2.8509357,,,2.4565067,2.76161
2.9907393,,2.7384176,3.073209,2.9179268,,,2.5479462,2.7978146
2.8113263,,2.6612668,2.9263418,2.77336,,,2.4209657,2.6388662
2.9620216,,2.7623746,3.1212752,2.9751768,,,2.5700185,2.8372872
2.9292145,,2.8043656,2.9922493,2.901309,,,2.5145824,2.778237
2.8898554,,2.6960568,3.016934,2.853603,,,2.510648,2.7042239
2.9382646,,2.796132,3.017506,2.8915398,,,2.507336,2.768912
2.985881,,2.780576,3.108649,2.953129,,,2.557111,2.8378003
2.7563388,,2.5849602,2.9707375,2.7465749,,,2.4043667,2.6475332
2.8719394,,2.6657572,3.081496,2.8160043,,,2.479456,2.725116
2.9294312,,2.7672071,2.9950397,2.868642,,,2.4773514,2.7856061
2.898214,,2.7238264,3.0042741,2.8522332,,,2.4936745,2.7197905
2.794851,,2.5211563,2.9367673,2.8232052,,,2.4870765,2.6404796
2.8483546,,2.6745317,3.030219,2.83411,,,2.4791188,2.7011874
3.030608,,2.8789613,3.042454,2.9505455,,,2.582618,2.8089833
2.9392536,,2.8301494,3.1007144,2.9673173,,,2.553201,2.8431547
2.7595317,,2.5184948,3.0852516,2.8176043,,,2.5084178,2.70477
2.960899,,2.7803583,3.091421,2.9106839,,,2.545331,2.7831764
2.9346771,,2.7430024,3.0438507,2.8695216,,,2.5167315,2.7365763
2.8349547,,2.7060888,3.0036328,2.855684,,,2.4842007,2.707279
3.0089805,,2.8690467,3.1394246,2.9961681,,,2.5926745,2.8617115
2.7503388,,2.683231,2.9185364,2.8859365,,,2.4801338,2.7124963
2.7542956,,2.5914247,2.9554412,2.7851949,,,2.4232385,2.6799088
2.8352783,,2.6682818,3.114344,2.8870645,,,2.531858,2.7588193
3.1067812,,2.7542727,3.143965,2.959799,,,2.6098883,2.8165655
2.8118541,,2.556429,3.0300283,2.8413835,,,2.5177116,2.688201
3.0563838,,2.9205406,3.119118,3.0229,,,2.596806,2.9026318
2.9830139,,2.8508317,3.017823,2.8831317,,,2.5293133,2.7713363
2.876662,,2.6479948,2.951906,2.7538862,,,2.426071,2.6457474
2.8964279,,2.7472236,3.0374753,2.9120996,,,2.5353944,2.7457192
2.8398945,,2.8024163,2.9830256,2.9592655,,,2.551532,2.7984173
2.8701627,,2.526712,3.157273,2.9970675,,,2.6671839,2.7808976
2.8570933,,2.709143,2.8818839,2.8102224,,,2.4498427,2.669776
2.8876746,,2.7492597,2.921846,2.8034375,,,2.4258068,2.713758
3.0157397,,2.8995798,3.0999353,2.9835489,,,2.6060517,2.8321183
2.8661616,,2.7469206,2.9575717,2.8554113,,,2.4831502,2.7091925
2.9608161,,2.8090947,3.0762742,2.9180768,,,2.5491278,2.7712662
2.96078,,2.8165472,3.0453663,2.8667672,,,2.4967232,2.7653885
2.9381006,,2.7460902,3.0485246,2.8364305,,,2.5002258,2.7171514
2.8812387,,2.6283464,2.9884405,2.824283,,,2.4903371,2.6774871
2.9212828,,2.783465,3.0344622,2.9155767,,,2.5625708,2.7657728
2.9155838,,2.8003204,3.0085156,2.9061477,,,2.517387,2.7693584
2.73325,,2.5966957,3.0423777,2.8212569,,,2.4752033,2.6755145
2.8710968,,2.713233,3.0456026,2.909856,,,2.5263772,2.7559817
3.019696,,2.874457,3.0023377,2.8436086,,,2.4921691,2.7661393
3.0187652,,2.8918557,2.9649231,2.9324367,,,2.5565836,2.80872
2.8804045,,2.7816308,2.9680436,2.8824058,,,2.4993632,2.7439754
2.8106282,,2.6749997,2.8692238,2.739172,,,2.3730674,2.635813
2.7805955,,2.6381166,2.9489636,2.7684634,,,2.4045868,2.644922
3.041273,,2.8883796,3.191742,3.029331,,,2.6483102,2.872205
2.8952935,,2.7276933,2.9797812,2.8340232,,,2.458004,2.7368684
2.9195232,,2.7900486,3.0225806,2.8850849,,,2.511735,2.7609236
3.0080047,,2.8580723,3.0866072,2.9525568,,,2.5462303,2.8422954
2.875748,,2.7298443,2.9822946,2.8500473,,,2.4683244,2.7175066
2.6734993,,2.5192046,2.7675169,2.6299322,,,2.2857897,2.5294588
2.9116395,,2.7749972,2.892634,2.798241,,,2.441628,2.7091804
2.7778924,,2.5181208,2.885574,2.7328522,,,2.4022095,2.587985
2.941985,,2.8172889,3.002741,2.8920074,,,2.502524,2.7684615
2.9271867,,2.7330315,3.0019262,2.84686,,,2.4850767,2.7274275
2.9183297,,2.8030047,3.0283325,2.9610426,,,2.5409617,2.800723
2.9461477,,2.7090328,2.9657955,2.8467386,,,2.491453,2.708122
2.9225307,,2.7430475,3.100219,2.9171202,,,2.565661,2.7618878
2.9767883,,2.821057,3.068234,2.9458988,,,2.5571792,2.8097093
2.885896,,2.718661,3.0170338,2.809248,,,2.4746256,2.6891744
2.8821146,,2.7685337,3.0120165,2.8749871,,,2.4992862,2.750035
3.0151527,,2.8761272,3.1419938,3.0171154,,,2.6224544,2.861041
2.9301903,,2.7892106,3.1897562,2.970663,,,2.5597708,2.8817234
2.883856,,2.7655692,2.9600399,2.7948287,,,2.4285738,2.70084
3.0353005,,2.9404223,3.043391,2.9503362,,,2.5624278,2.8356564
2.877455,,2.7171004,2.9544165,2.829792,,,2.4860914,2.684757
2.765217,,2.504296,2.922218,2.7658262,,,2.434106,2.632622
2.8690026,,2.666179,2.9960067,2.827355,,,2.4775903,2.680393
2.787371,,2.6432235,2.8481014,2.676397,,,2.3354943,2.6016755
2.9063714,,2.694985,2.9538395,2.8357868,,,2.4682667,2.707159
2.9333706,,2.68303,3.031389,2.872927,,,2.5262463,2.7396216
3.1050212,,2.92534,2.9928,2.9150305,,,2.56017,2.798289
2.8584416,,2.6729596,3.0708816,2.8991134,,,2.5339165,2.7418032
3.0715373,,2.891809,3.0586588,2.9307628,,,2.5460753,2.8385334
2.8478582,,2.7350302,2.9257252,2.8393183,,,2.4766095,2.6825807
2.9845462,,2.8028367,2.9918106,2.8670437,,,2.4787855,2.7785523
3.0536482,,2.8938465,3.1071794,2.9968846,,,2.599766,2.879509
2.91667,,2.7575843,2.9824123,2.8112843,,,2.4455268,2.7157116
2.9060228,,2.7796175,2.8528626,2.7154205,,,2.3921187,2.654793
2.9651477,,2.7787251,3.0795133,2.9239423,,,2.5442479,2.786594
2.8776114,,2.6891038,3.0585816,2.8373203,,,2.4748926,2.7205198
2.9240935,,2.7283807,2.9924114,2.824817,,,2.4819295,2.706784
2.92789,,2.7211595,3.0746987,2.915599,,,2.5627544,2.7553318
3.0023615,,2.7919676,3.0015047,2.837053,,,2.4573624,2.7699475
2.8101149,,2.6676302,2.9698427,2.8011315,,,2.4378793,2.6671734
2.9403331,,2.7741463,2.918206,2.7662523,,,2.4153602,2.7094142
2.9761012,,2.7836895,3.0572097,2.8504703,,,2.5258808,2.7452412
2.824978,,2.6890526,2.947374,2.8009188,,,2.4341834,2.6800487
2.9075227,,2.7721517,2.9389365,2.8152494,,,2.4572818,2.7037609
2.941832,,2.728084,3.0062492,2.8591516,,,2.4877403,2.7433963
2.9845395,,2.8111262,3.0027144,2.8648248,,,2.4734828,2.7771585
2.9033585,,2.7404492,2.9267652,2.795398,,,2.4553275,2.6471689
3.0282147,,2.8199642,3.0769289,2.9704897,,,2.5663552,2.8482296
2.6258867,,2.342165,2.6195624,2.5848224,,,2.218966,2.501122
2.886951,,2.747052,2.9517312,2.8043687,,,2.4346678,2.7063622
2.7984385,,2.6676388,2.9317496,2.8044844,,,2.4314528,2.6692188
3.0149682,,2.8092537,3.0953736,2.9249966,,,2.5510385,2.823366
3.0169904,,2.8217943,3.1199412,2.9417233,,,2.5495317,2.8544376
3.0109444,,2.8104858,3.1349413,2.8917959,,,2.556338,2.7916863
2.9988282,,2.8145583,3.065678,2.9454062,,,2.5397725,2.8361084
3.0525455,,2.8854675,3.1514723,3.0318327,,,2.628705,2.8808446
2.7734761,,2.676293,2.8267405,2.7396913,,,2.358948,2.623342
3.0354059,,2.8537033,3.1112187,2.9900994,,,2.5852242,2.85237
2.9608176,,2.8345187,3.0586627,2.9258049,,,2.557813,2.7913642
2.8858073,,2.7547,2.9650986,2.8201902,,,2.4438212,2.7197804
2.786753,,2.6906095,2.8811564,2.804948,,,2.4153464,2.6901708
2.9265063,,2.7717597,3.002894,2.9148285,,,2.5086088,2.7833188
2.9227307,,2.7194595,2.973416,2.836184,,,2.4511025,2.7512858
3.083925,,2.9208913,3.1242554,3.0404744,,,2.619457,2.9138558
2.9732406,,2.8043082,3.0894964,2.9732609,,,2.567014,2.8214617
3.040539,,2.8297389,3.1342113,2.9538739,,,2.5552862,2.8538992
2.898216,,2.7897658,2.9029233,2.835286,,,2.452745,2.7203262
2.9843547,,2.7339044,3.077545,2.9709196,,,2.5925586,2.801991
2.8251426,,2.6993241,2.9849188,2.8572242,,,2.4746885,2.7069287
2.8421116,,2.6734204,2.9953043,2.799515,,,2.4525945,2.6788588
3.0606797,,2.8825483,3.1652105,3.0488598,,,2.6241686,2.9311852
2.931574,,2.7962432,2.9880602,2.919951,,,2.5374448,2.7765408
2.9741926,,2.8197124,3.0043676,2.9109428,,,2.509246,2.7952287
2.9995534,,2.699016,3.0105507,2.9123206,,,2.5418808,2.7871091
3.0381234,,2.8073413,3.1125426,2.8549807,,,2.5351973,2.7542665
2.988687,,2.7840889,3.1810715,2.9524815,,,2.5936735,2.8140485
2.8392851,,2.5984504,2.8708417,2.7791588,,,2.4061558,2.7053206
3.0351496,,2.8155005,3.1177523,2.9005082,,,2.5348685,2.8075938
2.9440825,,2.7653384,2.998006,2.8710444,,,2.5019596,2.7151845
3.0118985,,2.8300648,3.0843942,2.9706056,,,2.564553,2.8520756
2.8710325,,2.6999652,2.933453,2.792627,,,2.4690197,2.6497934
2.9716246,,2.8543344,3.0786955,2.951567,,,2.5531285,2.8165605
3.0032785,,2.811558,3.0510561,2.8488557,,,2.4887865,2.785736
2.9174478,,2.663264,3.0591555,2.8675342,,,2.529474,2.7382078
2.8135402,,2.6865067,2.9363925,2.8597546,,,2.513697,2.6917558
2.9564466,,2.713308,2.990064,2.8331864,,,2.4752529,2.7254796
3.0441706,,2.8421643,3.0676372,2.9073937,,,2.5484402,2.8031967
2.766621,,2.6123226,2.8065004,2.6815152,,,2.3372486,2.5701091
2.834379,,2.6774845,2.9118521,2.786086,,,2.4068162,2.690708
2.8806527,,2.7178733,2.8840818,2.7661126,,,2.4172013,2.67876
3.0127797,,2.8682878,3.1363616,3.0062873,,,2.613639,2.8569164
2.9489372,,2.8381627,2.9238105,2.8664162,,,2.5123897,2.7489305
2.8257897,,2.7105799,2.927158,2.7937624,,,2.4363024,2.6699913
2.9641387,,2.801176,2.9712045,2.881612,,,2.515012,2.7475011
2.8770854,,2.763624,2.918164,2.8141446,,,2.4629476,2.6804154
2.940512,,2.7405941,2.9635236,2.7751544,,,2.4545288,2.6746104
2.855634,,2.7432735,2.9158146,2.796814,,,2.426705,2.6854315
3.053788,,2.9007568,3.1680543,3.036746,,,2.6184268,2.903623
2.7669928,,2.5783963,2.8497393,2.6395273,,,2.3253255,2.585375
3.0531778,,2.8536181,3.047592,2.8711274,,,2.537598,2.7825208
2.9413607,,2.7687805,3.0618193,2.9075625,,,2.531469,2.7721179
2.7523613,,2.5417743,2.900934,2.6745024,,,2.3434165,2.6039078
2.8866932,,2.7117233,2.9123805,2.726494,,,2.419638,2.6309936
2.8711317,,2.709728,2.8927114,2.7430024,,,2.3890984,2.6492107
2.9104655,,2.7370234,2.9554682,2.7583556,,,2.4270594,2.6721387
2.8937695,,2.7275395,3.0451965,2.8046253,,,2.4698207,2.7247252
3.0537763,,2.8237932,3.0846202,2.93515,,,2.5606697,2.816491
2.9077682,,2.709597,3.1123006,2.840473,,,2.5232592,2.7253816
3.0015929,,2.8257155,3.1577487,2.9730287,,,2.5912564,2.853435
2.8756642,,2.6989694,2.9336674,2.8252118,,,2.4475067,2.6987166
2.9643948,,2.8163693,3.0170004,2.9367707,,,2.5585425,2.7958589
2.7444286,,2.6266975,2.8208547,2.6955862,,,2.3360646,2.587508
2.8710258,,2.7329242,3.024803,2.8536532,,,2.4833457,2.720169
2.7485733,,2.507919,2.832998,2.5632205,,,2.2910805,2.4998505
2.7906516,,2.503924,2.9031727,2.829456,,,2.4612095,2.666788
3.050006,,2.8377798,3.1604726,2.9846838,,,2.6124012,2.8426723
2.8663604,,2.74449,2.9269514,2.7730381,,,2.4230769,2.662376
3.0755804,,2.8113651,3.2445366,3.0104532,,,2.6574311,2.8809905
2.8559697,,2.6567123,2.942102,2.8393621,,,2.4483373,2.730956
2.813999,,2.622622,2.902795,2.7279015,,,2.399269,2.6137617
2.9021494,,2.7946968,2.9504418,2.8308449,,,2.4633582,2.7124884
2.9592464,,2.8134525,2.9561617,2.8368092,,,2.4791448,2.7333953
3.0407407,,2.940142,3.1218367,3.014271,,,2.6079507,2.8858566
2.8902328,,2.7087097,3.0034235,2.8418014,,,2.4696486,2.7222776
2.870178,,2.7703586,2.9641168,2.8519845,,,2.4598262,2.7290277
2.769471,,2.6325328,2.8245795,2.6575716,,,2.328362,2.565682
3.1176636,,2.9392736,3.1512825,3.052293,,,2.6425614,2.9149883
2.7989645,,2.6952307,2.8249156,2.75249,,,2.4425533,2.6148252
2.933533,,2.79832,3.0834131,2.9620514,,,2.60494,2.7735372
2.8361266,,2.7566082,2.894487,2.8015542,,,2.428908,2.698134
2.9974306,,2.8591375,3.117783,3.0005343,,,2.5863123,2.8530846
2.8452115,,2.6325965,2.9351285,2.755525,,,2.4043028,2.654097
2.9300518,,2.7856524,2.9659798,2.894222,,,2.5202644,2.7510521
3.1249774,,2.9070108,3.1789742,2.9963224,,,2.627515,2.8615878
2.9143193,,2.689946,2.9039953,2.8114538,,,2.4401758,2.6797855
3.0492153,,2.8368511,3.1591303,2.9751976,,,2.5786235,2.8805473
2.9096098,,2.7078528,3.0804205,2.9004939,,,2.5305521,2.7672832
2.8972566,,2.7278006,3.066161,2.8149083,,,2.4892619,2.6999185
2.9593031,,2.7788749,3.1068685,2.949103,,,2.5797193,2.7936163
2.930032,,2.7835693,3.0531125,2.917352,,,2.514776,2.815726
2.9626603,,2.7469392,3.0178108,2.8357806,,,2.498503,2.7227018
2.8435993,,2.6776004,3.0168006,2.8198283,,,2.4617338,2.6941676
2.870823,,2.6700292,2.9075797,2.7305424,,,2.4005258,2.6356583
3.010883,,2.7961538,3.1274502,2.9112973,,,2.5345905,2.8139176
2.9015772,,2.7355773,3.0269082,2.861767,,,2.5049636,2.7262638
2.7992299,,2.6330426,2.92011,2.693019,,,2.3761554,2.6119294
2.9298136,,2.678157,2.917559,2.692687,,,2.3846939,2.6030552
