"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-4.30819404851251,-4.66897229580125,-4.55194232392251,-4.52860477125258,-4.06158048291578,-4.73697324269809,-4.71533874749234,-4.49718935550004,-4.20961666118113,-4.04731522484734
-4.46258496420895,-4.75041237335894,-4.58990967677225,-4.42124923904223,-4.05137312188945,-4.70105167948044,-4.62265400163721,-4.65608367575596,-4.11396314735953,-4.11140604684426
-4.31199576604449,-4.58573120714931,-4.5008718011795,-4.54984294621309,-4.05120490494667,-4.64096819595252,-4.61197856230379,-4.6393400234161,-4.20503968459436,-4.03134270147525
-4.45382308530609,-4.66089478194583,-4.58262657991707,-4.58260846081364,-4.05752026181318,-4.46104878447934,-4.61994308705863,-4.76030822986682,-4.27931197061423,-4.03050983427887
-4.34684828957604,-4.54955329213298,-4.62662520471149,-4.37625812533823,-4.10257765329025,-4.70563725436428,-4.56635800950231,-4.60873846052776,-4.14087111616674,-4.10339769865756
-4.33434805623991,-4.68967388711814,-4.33099425242329,-4.40358166246143,-4.14152493435794,-4.60134267984311,-4.65996150081841,-4.61678610714668,-4.05833486472571,-4.08873054158684
-4.43624241024484,-4.61737234133202,-4.42687794348966,-4.49122518924757,-4.15767751058424,-4.52399207836328,-4.72163956152808,-4.52603899161517,-4.19792609106876,-4.2264694716295
-4.18828360471527,-4.41185561114278,-4.72029754719186,-4.40409386514819,-4.0081143072947,-4.75104116046202,-4.79523361598546,-4.59603108343748,-4.0620094772159,-4.1211416260418
-4.25814159541527,-4.67047193885695,-4.42113491706397,-4.36030638736536,-4.12499978852194,-4.49835343635756,-4.5936561884748,-4.77368030306339,-4.17382336772726,-4.22143181581181
-4.37688119868933,-4.54442603696818,-4.47019578035593,-4.607835026446,-4.04029014169203,-4.62176982649619,-4.72739812036669,-4.55809904133926,-4.13327834618299,-4.06385213054591
-4.38382139537018,-4.42272428613424,-4.275642706228,-4.51378699803579,-4.133719299485,-4.66422728469939,-4.60112765773154,-4.54177590908108,-4.16353089724211,-4.09746074719321
-4.37177150641004,-4.58558223489069,-4.38498690750928,-4.59568836319466,-4.01145402649602,-4.54569799407915,-4.52600506552826,-4.5260742330318,-4.02300391806025,-4.17622063656635
-4.38347108433353,-4.46809172247653,-4.46057679933205,-4.45007193336486,-3.93792685302489,-4.49901971293265,-4.65774124899878,-4.69648515026496,-4.00146940505799,-4.21633490068239
-4.24835938663656,-4.53446066846975,-4.47261166298144,-4.46922381936233,-4.18688529939688,-4.45078508543439,-4.61761259375337,-4.67859502298791,-4.2041573380022,-4.1228809842205
-4.35051281000821,-4.72841994735662,-4.38225584432744,-4.41125650215767,-3.98540491268811,-4.63344023462367,-4.492341072446,-4.75723245777174,-4.23968090905263,-4.13660041949664
-4.25993555311183,-4.52386813599872,-4.45751093787092,-4.72957594614706,-3.94644830897549,-4.60109611116685,-4.47261381701282,-4.57762290750343,-4.09232876188832,-4.19208679591002
-4.25279776354555,-4.69028335630864,-4.34975306985088,-4.50677915076002,-3.95668168223137,-4.62442591754836,-4.80815231053847,-4.6232726588637,-4.10964839880219,-4.03236295663783
-4.47359400480359,-4.71164232308232,-4.56050886268145,-4.55423019977967,-3.97226355886749,-4.67333884823173,-4.63716529657519,-4.56331567378808,-4.03756556415601,-4.07107173301826
-4.3931117902194,-4.62929094431314,-4.40321588129821,-4.40268932135821,-3.96536894752812,-4.60902547528638,-4.66140887032618,-4.50156736242679,-4.08520061077098,-4.2191364021521
-4.37990875594537,-4.6579729809424,-4.52710980541262,-4.39246673086371,-4.14099520315588,-4.62513329447507,-4.70329616457515,-4.61757213934353,-4.18236114905555,-4.08828016572026
-4.60354471489397,-4.70528224281757,-4.51181529484419,-4.3945496527914,-4.1275277006253,-4.64789215805005,-4.35998862158536,-4.72586016067384,-4.1124219931,-4.08399569107242
-4.28684916187902,-4.55830719377269,-4.55072792351103,-4.54997500361244,-4.02705985500175,-4.61498665034985,-4.71230237180363,-4.53058905357932,-4.0427140399165,-4.03423693296659
-4.39697371085948,-4.50369862214244,-4.34469931831522,-4.58867872415408,-4.05691010402437,-4.53292549468906,-4.6014539256101,-4.61642300244929,-4.03080671808543,-4.02675287127287
